CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
160.4,5.52,3923.9,2.192,12471.01
160.8,5.54,3957.4,2.1893333333333334,12506.505000000001
161.2,5.54,3973.1,2.186666666666667,12542.0
161.5,5.5,3992.3,2.184,12577.495
161.7,5.52,4014.8,2.1793333333333336,12619.577333333335
161.8,5.5,4032.9,2.1746666666666665,12661.659666666666
162.0,5.56,4056.2,2.17,12703.742
162.0,5.51,4088.9,2.165,12742.941
162.0,5.49,4114.3,2.1599999999999997,12782.14
162.2,5.45,4140.2,2.155,12821.339
162.6,5.49,4164.4,2.155,12875.143333333333
162.8,5.56,4184.1,2.155,12928.947666666667
163.2,5.54,4203.8,2.155,12982.752
163.4,5.55,4228.7,2.15,13052.391333333333
163.5,5.51,4267.7,2.145,13122.030666666667
163.9,5.07,4307.9,2.14,13191.67
164.1,4.83,4346.6,2.1363333333333334,13232.979
164.4,4.68,4375.6,2.1326666666666667,13274.288
164.7,4.63,4403.0,2.129,13315.597
164.7,4.76,4425.8,2.1273333333333335,13352.647333333332
164.8,4.81,4432.6,2.1256666666666666,13389.697666666667
165.9,4.74,4461.4,2.124,13426.748
166.0,4.74,4486.1,2.1253333333333333,13486.089
166.0,4.76,4508.0,2.126666666666667,13545.43
166.7,4.99,4535.4,2.128,13604.771
167.1,5.07,4552.7,2.1336666666666666,13679.174
167.8,5.22,4568.8,2.1393333333333335,13753.577
168.1,5.2,4592.7,2.145,13827.98
168.4,5.42,4611.8,2.1413333333333333,13844.702333333333
168.8,5.3,4639.3,2.1376666666666666,13861.424666666668
169.3,5.45,4667.6,2.134,13878.147
170.0,5.73,4680.9,2.139333333333333,13962.400666666666
171.0,5.85,4711.7,2.1446666666666667,14046.654333333334
170.9,6.02,4767.8,2.15,14130.908
171.2,6.27,4755.7,2.1466666666666665,14135.709333333332
172.2,6.53,4773.6,2.1433333333333335,14140.510666666667
172.7,6.54,4791.3,2.14,14145.312
172.7,6.5,4819.5,2.1373333333333333,14173.463
173.6,6.52,4855.3,2.134666666666667,14201.614
173.9,6.51,4871.4,2.132,14229.765
174.2,6.51,4882.8,2.116,14214.216666666667
174.6,6.4,4927.7,2.1,14198.668333333333
175.6,5.98,4978.4,2.084,14183.12
176.0,5.49,5017.1,2.075,14212.644666666667
176.1,5.31,5074.9,2.066,14242.169333333333
176.4,4.8,5139.2,2.057,14271.694
177.3,4.21,5137.3,2.0416666666666665,14252.634666666667
177.7,3.97,5180.3,2.0263333333333335,14233.575333333332
177.4,3.77,5210.2,2.011,14214.516
177.4,3.65,5243.9,2.0,14227.535333333333
178.1,3.07,5355.3,1.989,14240.554666666667
177.6,2.49,5344.0,1.978,14253.574
177.5,2.09,5387.7,1.974,14293.311
177.4,1.82,5440.7,1.97,14333.048
177.7,1.73,5461.1,1.966,14372.785
178.0,1.74,5490.4,1.967,14402.139333333333
178.5,1.73,5502.2,1.968,14431.493666666667
179.3,1.75,5502.3,1.969,14460.848
179.5,1.75,5528.5,1.9626666666666668,14480.443
179.6,1.75,5553.5,1.9563333333333333,14500.038
180.0,1.73,5596.2,1.95,14519.633
180.5,1.74,5638.4,1.9413333333333334,14525.615333333333
180.8,1.75,5662.5,1.9326666666666665,14531.597666666667
181.2,1.75,5707.2,1.924,14537.58
181.5,1.34,5758.2,1.92,14563.100333333334
181.8,1.24,5779.5,1.916,14588.620666666666
182.6,1.24,5812.3,1.912,14614.141
183.6,1.26,5848.4,1.9076666666666666,14657.283
183.9,1.25,5868.6,1.9033333333333333,14700.425
183.2,1.26,5905.7,1.899,14743.567
182.9,1.26,5965.5,1.9003333333333334,14825.305333333332
183.1,1.22,6002.4,1.9016666666666666,14907.043666666666
183.7,1.01,6049.4,1.903,14988.782
184.5,1.03,6107.3,1.9146666666666667,15046.774666666666
